timestamp,home311_hall2851_sensor20141c20143_electric-mains_electric-combined,home311_bathroom2854_sensor20133_gas-pulse_gas
2018-03-30 21:00:00,132.0,4144.0
2018-03-30 22:00:00,100.0,4255.0
2018-03-30 23:00:00,82.0,0.0
2018-03-31 00:00:00,40.0,112.0
2018-03-31 01:00:00,62.0,0.0
2018-03-31 02:00:00,24.0,0.0
2018-03-31 03:00:00,55.0,3804.0
2018-03-31 04:00:00,71.0,0.0
2018-03-31 05:00:00,62.0,3695.0
2018-03-31 06:00:00,101.0,3918.0
2018-03-31 07:00:00,415.0,8508.0
2018-03-31 08:00:00,171.0,6155.0
2018-03-31 09:00:00,166.0,6939.0
2018-03-31 10:00:00,147.0,5600.0
2018-03-31 11:00:00,182.0,6939.0
2018-03-31 12:00:00,198.0,4253.0
2018-03-31 13:00:00,167.0,4030.0
2018-03-31 14:00:00,772.0,4143.0
2018-03-31 15:00:00,177.0,4479.0
2018-03-31 16:00:00,146.0,6606.0
2018-03-31 17:00:00,116.0,5710.0
2018-03-31 18:00:00,125.0,4030.0
2018-03-31 19:00:00,177.0,4142.0
2018-03-31 20:00:00,143.0,4255.0
2018-03-31 21:00:00,101.0,3356.0
2018-03-31 22:00:00,65.0,2910.0
2018-03-31 23:00:00,75.0,112.0
2018-04-01 00:00:00,37.0,0.0
2018-04-01 01:00:00,63.0,112.0
2018-04-01 02:00:00,52.0,0.0
2018-04-01 03:00:00,71.0,0.0
2018-04-01 04:00:00,75.0,112.0
2018-04-01 05:00:00,57.0,112.0
2018-04-01 06:00:00,56.0,0.0
2018-04-01 07:00:00,1409.0,224.0
2018-04-01 08:00:00,972.0,8174.0
2018-04-01 09:00:00,89.0,8506.0
2018-04-01 10:00:00,114.0,7949.0
2018-04-01 11:00:00,66.0,6716.0
2018-04-01 12:00:00,100.0,5821.0
2018-04-01 13:00:00,71.0,7385.0
2018-04-01 14:00:00,96.0,4589.0
2018-04-01 15:00:00,71.0,5822.0
2018-04-01 16:00:00,91.0,4591.0
2018-04-01 17:00:00,687.0,3582.0
2018-04-01 18:00:00,509.0,3806.0
2018-04-01 19:00:00,167.0,7950.0
2018-04-01 20:00:00,209.0,2909.0
2018-04-01 21:00:00,132.0,3914.0
2018-04-01 22:00:00,96.0,3579.0
