timestamp,home290_other2691_sensor18644c18653_electric-mains_electric-combined,home290_other2695_sensor18665_gas-pulse_gas
2018-02-26 06:00:00,1665.0,9164.0
2018-02-26 07:00:00,908.0,9164.0
2018-02-26 08:00:00,293.0,6004.0
2018-02-26 09:00:00,261.0,5372.0
2018-02-26 10:00:00,275.0,6004.0
2018-02-26 11:00:00,260.0,5688.0
2018-02-26 12:00:00,280.0,5372.0
2018-02-26 13:00:00,604.0,6636.0
2018-02-26 14:00:00,392.0,6004.0
2018-02-26 15:00:00,495.0,5372.0
2018-02-26 16:00:00,514.0,6004.0
2018-02-26 17:00:00,697.0,6952.0
2018-02-26 18:00:00,3871.0,7900.0
2018-02-26 19:00:00,2570.0,8848.0
2018-02-26 20:00:00,1709.0,8532.0
2018-02-26 21:00:00,644.0,8216.0
2018-02-26 22:00:00,1255.0,7268.0
2018-02-26 23:00:00,762.0,6636.0
2018-02-27 00:00:00,728.0,0.0
2018-02-27 01:00:00,202.0,0.0
2018-02-27 02:00:00,211.0,0.0
2018-02-27 03:00:00,184.0,0.0
2018-02-27 04:00:00,181.0,632.0
2018-02-27 05:00:00,266.0,8532.0
2018-02-27 06:00:00,1468.0,6636.0
2018-02-27 07:00:00,784.0,8848.0
2018-02-27 08:00:00,267.0,4424.0
2018-02-27 09:00:00,322.0,6004.0
2018-02-27 10:00:00,328.0,5372.0
2018-02-27 11:00:00,450.0,6004.0
2018-02-27 12:00:00,1054.0,5688.0
2018-02-27 13:00:00,390.0,6952.0
2018-02-27 14:00:00,544.0,5688.0
2018-02-27 15:00:00,500.0,5688.0
2018-02-27 16:00:00,488.0,5688.0
2018-02-27 17:00:00,1402.0,6636.0
2018-02-27 18:00:00,3315.0,8532.0
2018-02-27 19:00:00,1430.0,8531.0
2018-02-27 20:00:00,1335.0,7899.0
2018-02-27 21:00:00,864.0,9164.0
2018-02-27 22:00:00,505.0,7584.0
2018-02-27 23:00:00,342.0,4740.0
2018-02-28 00:00:00,204.0,0.0
2018-02-28 01:00:00,178.0,0.0
2018-02-28 02:00:00,212.0,0.0
2018-02-28 03:00:00,223.0,5372.0
2018-02-28 04:00:00,285.0,6320.0
2018-02-28 05:00:00,240.0,6004.0
2018-02-28 06:00:00,2445.0,9480.0
2018-02-28 07:00:00,1872.0,9480.0
2018-02-28 08:00:00,524.0,6636.0
2018-02-28 09:00:00,229.0,5372.0
2018-02-28 10:00:00,757.0,6320.0
2018-02-28 11:00:00,1471.0,6952.0
2018-02-28 12:00:00,350.0,8532.0
2018-02-28 13:00:00,511.0,8848.0
2018-02-28 14:00:00,399.0,8848.0
2018-02-28 15:00:00,697.0,8215.0
2018-02-28 16:00:00,672.0,8848.0
2018-02-28 17:00:00,2225.0,9164.0
2018-02-28 18:00:00,2253.0,8848.0
2018-02-28 19:00:00,2217.0,9480.0
2018-02-28 20:00:00,878.0,12640.0
2018-02-28 21:00:00,632.0,8532.0
2018-02-28 22:00:00,695.0,6952.0
2018-02-28 23:00:00,393.0,6320.0
2018-03-01 00:00:00,184.0,0.0
2018-03-01 01:00:00,192.0,948.0
